Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2010-11-01 11:59:30	17331.959	-7021.471	-14001.316
2010-11-02 11:59:30	17323.246	-7025.421	-14004.614
2010-11-03 11:59:30	17327.385	-7021.941	-14001.171
2010-11-04 11:59:30	17326.935	-7016.697	-14000.782
2010-11-05 11:59:30	17331.295	-7021.607	-14003.43
2010-11-06 11:59:30	17329.926	-7022.7	-13999.534
2010-11-07 11:59:30	17330.939	-7021.468	-14000.586
2010-11-08 11:59:30	17329.577	-7020.044	-14002.381
2010-11-09 11:59:30	17326.799	-7023.624	-14002.722
2010-11-10 11:59:30	17331.966	-7022.063	-14001.27
2010-11-11 11:59:30	17322.149	-7019.601	-14005.099
2010-11-12 11:59:30	17327.298	-7020.888	-14007.639
2010-11-13 11:59:30	17324.082	-7019.315	-14007.897
2010-11-14 11:59:30	17323.702	-7023.565	-14004.026
2010-11-15 11:59:30	17325.098	-7013.224	-14004.583
2010-11-16 11:59:30	17322.681	-7023.112	-14003.288
2010-11-17 11:59:30	17327.809	-7019.126	-14002.946
2010-11-18 11:59:30	17327.79	-7021.019	-14007.091
2010-11-19 11:59:30	17324.538	-7023.371	-14007.009
2010-11-20 11:59:30	17327.353	-7018.454	-14005.232
2010-11-21 11:59:30	17328.19	-7023.258	-14010.174
2010-11-22 11:59:30	17328.429	-7018.125	-14011.066
2010-11-23 11:59:30	17320.875	-7022.29	-14009.462
2010-11-24 11:59:30	17323.966	-7024.108	-14010.605
2010-11-25 11:59:30	17328.252	-7023.514	-14011.112
2010-11-26 11:59:30	17326.624	-7022.453	-14010.801
2010-11-27 11:59:30	17325.433	-7019.681	-14014.631
2010-11-28 11:59:30	17326.096	-7018.779	-14019.931
2010-11-29 11:59:30	17321.621	-7020.27	-14012.765
2010-11-30 11:59:30	17327.253	-7017.56	-14010.272
2010-12-01 11:59:30	17328.904	-7016.254	-14014.508
2010-12-02 11:59:30	17319.756	-7017.84	-14014.463
2010-12-03 11:59:30	17323.824	-7022.192	-14013.253
2010-12-04 11:59:30	17323.432	-7017.589	-14015.877
2010-12-05 11:59:30	99999.0	99999.0	99999.0
2010-12-06 11:59:30	99999.0	99999.0	99999.0
2010-12-07 11:59:30	99999.0	99999.0	99999.0
2010-12-08 11:59:30	17321.61	-7018.465	-14017.786
2010-12-09 11:59:30	99999.0	99999.0	99999.0
2010-12-10 11:59:30	17328.306	-7022.635	-14016.388
2010-12-11 11:59:30	17320.817	-7018.071	-14017.684
2010-12-12 11:59:30	17324.324	-7022.824	-14019.279
2010-12-13 11:59:30	99999.0	99999.0	99999.0
2010-12-14 11:59:30	99999.0	99999.0	99999.0
2010-12-15 11:59:30	17315.615	-7020.634	-14020.189
2010-12-16 11:59:30	17320.066	-7020.074	-14019.632
2010-12-17 11:59:30	17317.151	-7019.766	-14023.018
2010-12-18 11:59:30	17319.904	-7021.459	-14025.057
2010-12-19 11:59:30	17320.098	-7016.406	-14023.009
2010-12-20 11:59:30	17319.257	-7017.412	-14023.281
2010-12-21 11:59:30	17317.555	-7020.305	-14021.598
2010-12-22 11:59:30	17320.114	-7018.211	-14021.231
2010-12-23 11:59:30	17316.307	-7021.629	-14019.212
2010-12-24 11:59:30	17317.712	-7019.023	-14023.071
2010-12-25 11:59:30	17315.192	-7018.915	-14022.408
2010-12-26 11:59:30	17317.119	-7023.353	-14021.078
2010-12-27 11:59:30	17314.44	-7020.148	-14025.85
2010-12-28 11:59:30	17315.101	-7016.097	-14022.585
2010-12-29 11:59:30	17316.253	-7019.802	-14022.54
2010-12-30 11:59:30	17317.893	-7019.775	-14027.214
2010-12-31 11:59:30	17315.004	-7019.992	-14025.325
2011-01-01 11:59:30	17311.402	-7018.363	-14027.535
2011-01-02 11:59:30	17313.461	-7020.481	-14027.278
2011-01-03 11:59:30	17321.418	-7015.422	-14025.747
2011-01-04 11:59:30	17312.309	-7021.984	-14028.904
2011-01-05 11:59:30	99999.0	99999.0	99999.0
2011-01-06 11:59:30	17311.232	-7018.796	-14027.991
2011-01-07 11:59:30	17312.137	-7019.172	-14028.489
2011-01-08 11:59:30	17311.519	-7019.179	-14027.628
2011-01-09 11:59:30	17314.08	-7019.167	-14027.464
2011-01-10 11:59:30	17311.069	-7021.371	-14027.525
2011-01-11 11:59:30	17312.496	-7022.788	-14029.855
2011-01-12 11:59:30	17310.096	-7021.988	-14029.613
2011-01-13 11:59:30	17312.042	-7026.307	-14030.951
2011-01-14 11:59:30	17304.388	-7018.151	-14032.082
2011-01-15 11:59:30	17307.756	-7014.598	-14032.27
2011-01-16 11:59:30	17310.926	-7023.602	-14029.013
2011-01-17 11:59:30	17309.316	-7017.316	-14031.156
2011-01-18 11:59:30	17307.614	-7017.873	-14026.521
2011-01-19 11:59:30	17310.756	-7021.592	-14034.343
2011-01-20 11:59:30	17303.491	-7018.516	-14030.003
2011-01-21 11:59:30	17310.46	-7019.237	-14032.535
2011-01-22 11:59:30	17305.383	-7019.221	-14027.28
2011-01-23 11:59:30	17304.668	-7020.129	-14031.467
2011-01-24 11:59:30	17310.681	-7022.328	-14028.897
2011-01-25 11:59:30	17305.722	-7015.365	-14034.152
2011-01-26 11:59:30	17308.115	-7020.298	-14029.334
2011-01-27 11:59:30	17307.879	-7017.907	-14027.504
2011-01-28 11:59:30	17310.203	-7012.449	-14029.055
2011-01-29 11:59:30	17310.771	-7021.568	-14032.318
2011-01-30 11:59:30	17307.475	-7018.4	-14033.901
2011-01-31 11:59:30	17313.922	-7019.624	-14030.963
2011-02-01 11:59:30	99999.0	99999.0	99999.0
2011-02-02 11:59:30	17305.598	-7015.058	-14028.866
